,Name,Team,BYE,Pos,ADP,FantasyPros,YahooXRank,Yahoo!vADP,Yahoo!vFP,Round,Pick
,Jonathan Taylor,IND,14,RB,1,1,1,0.00,0.00,1,1
,Christian McCaffrey,CAR,13,RB,2,2,2,0.00,0.00,,2
,Justin Jefferson,MIN,7,WR,6,4,3,-0.50,-0.25,,3
,Cooper Kupp,LAR,7,WR,4,6,4,0.00,-0.33,,4
,Austin Ekeler,LAC,8,RB,2,3,5,1.50,0.67,,5
,Dalvin Cook,MIN,7,RB,7,5,6,-0.14,0.20,,6
,Derrick Henry,TEN,6,RB,5,7,7,0.40,0.00,,7
,Ja'Marr Chase,CIN,10,WR,9,8,8,-0.11,0.00,,8
,Stefon Diggs,BUF,7,WR,12,11,9,-0.25,-0.18,,9
,Najee Harris,PIT,9,RB,8,9,10,0.25,0.11,,10
,CeeDee Lamb,DAL,9,WR,18,17,11,-0.39,-0.35,,11
,Joe Mixon,CIN,10,RB,10,10,12,0.20,0.20,,12
,Davante Adams,LV,6,WR,11,14,13,0.18,-0.07,2,13
,Aaron Jones,GB,14,RB,16,18,14,-0.13,-0.22,,14
,D'Andre Swift,DET,6,RB,14,13,15,0.07,0.15,,15
,Mike Evans,TB,11,WR,26,24,16,-0.38,-0.33,,16
,Travis Kelce,KC,8,TE,13,12,17,0.31,0.42,,17
,Saquon Barkley,NYG,9,RB,19,16,18,-0.05,0.13,,18
,Leonard Fournette,TB,11,RB,24,19,19,-0.21,0.00,,19
,Nick Chubb,CLE,9,RB,15,20,20,0.33,0.00,,20
,Alvin Kamara,NO,14,RB,17,15,21,0.24,0.40,,21
,Tyreek Hill,MIA,11,WR,22,25,22,0.00,-0.12,,22
,Javonte Williams,DEN,9,RB,21,23,23,0.10,0.00,,23
,Michael Pittman,IND,14,WR,35,30,24,-0.31,-0.20,,24
,Mark Andrews,BAL,10,TE,24,22,25,0.04,0.14,3,25
,Deebo Samuel,SF,9,WR,20,21,26,0.30,0.24,,26
,Tee Higgins,CIN,10,WR,30,29,27,-0.10,-0.07,,27
,Ezekiel Elliott,DAL,9,RB,29,31,28,-0.03,-0.10,,28
,DJ Moore,CAR,13,WR,39,33,29,-0.26,-0.12,,29
,Keenan Allen,LAC,8,WR,28,28,30,0.07,0.07,,30
,A.J. Brown,PHI,7,WR,27,26,31,0.15,0.19,,31
,Josh Allen,BUF,7,QB,23,32,32,0.39,0.00,,32
,James Conner,ARI,13,RB,31,27,33,0.06,0.22,,33
,Breece Hall,NYJ,10,RB,38,35,34,-0.11,-0.03,,34
,Elijah Mitchell,SF,9,RB,49,47,35,-0.29,-0.26,,35
,Kyle Pitts,ATL,14,TE,33,34,36,0.09,0.06,,36
,Mike Williams,LAC,8,WR,45,37,37,-0.18,0.00,4,37
,Cam Akers,LAR,7,RB,32,39,38,0.19,-0.03,,38
,Travis Etienne,JAC,11,RB,44,36,39,-0.11,0.08,,39
,Allen Robinson,LAR,7,WR,54,51,40,-0.26,-0.22,,40
,Terry McLaurin,WAS,14,WR,43,43,41,-0.05,-0.05,,41
,David Montgomery,CHI,14,RB,35,42,42,0.20,0.00,,42
,J.K. Dobbins,BAL,10,RB,61,45,43,-0.30,-0.04,,43
,Jaylen Waddle,MIA,11,WR,39,41,44,0.13,0.07,,44
,Diontae Johnson,PIT,9,WR,41,40,45,0.10,0.13,,45
,AJ Dillon,GB,14,RB,52,50,46,-0.12,-0.08,,46
,Lamar Jackson,BAL,10,QB,47,53,47,0.00,-0.11,,47
,Courtland Sutton,DEN,9,WR,51,38,48,-0.06,0.26,,48
,Justin Herbert,LAC,8,QB,37,44,49,0.32,0.11,5,49
,Damien Harris,NE,10,RB,63,66,50,-0.21,-0.24,,50
,Darren Waller,LV,6,TE,47,55,51,0.09,-0.07,,51
,Patrick Mahomes,KC,8,QB,34,48,52,0.53,0.08,,52
,George Kittle,SF,9,TE,42,49,53,0.26,0.08,,53
,Josh Jacobs,LV,6,RB,45,54,54,0.20,0.00,,54
,Brandin Cooks,HOU,6,WR,59,46,55,-0.07,0.20,,55
,Antonio Gibson,WAS,14,RB,57,70,56,-0.02,-0.20,,56
,Amon-Ra St. Brown,DET,6,WR,62,69,57,-0.08,-0.17,,57
,DK Metcalf,SEA,11,WR,50,52,58,0.16,0.12,,58
,Clyde Edwards-Helaire,KC,8,RB,66,64,59,-0.11,-0.08,,59
,Dalton Schultz,DAL,9,TE,59,65,60,0.02,-0.08,,60
,Jerry Jeudy,DEN,9,WR,54,58,61,0.13,0.05,6,61
,JuJu Smith-Schuster,KC,8,WR,70,72,62,-0.11,-0.14,,62
,Gabriel Davis,BUF,7,WR,67,63,63,-0.06,0.00,,63
,Devin Singletary,BUF,7,RB,77,85,64,-0.17,-0.25,,64
,Jalen Hurts,PHI,7,QB,64,60,65,0.02,0.08,,65
,Miles Sanders,PHI,7,RB,72,71,66,-0.08,-0.07,,66
,Rashod Bateman,BAL,10,WR,80,62,67,-0.16,0.08,,67
,Chase Edmonds,MIA,11,RB,86,67,68,-0.21,0.01,,68
,Rashaad Penny,SEA,11,RB,85,74,69,-0.19,-0.07,,69
,Joe Burrow,CIN,10,QB,53,77,70,0.32,-0.09,,70
,Kyler Murray,ARI,13,QB,54,59,71,0.31,0.20,,71
,Elijah Moore,NYJ,10,WR,82,76,72,-0.12,-0.05,,72
,Brandon Aiyuk,SF,9,WR,96,89,73,-0.24,-0.18,7,73
,Michael Thomas,NO,14,WR,69,61,74,0.07,0.21,,74
,Dallas Goedert,PHI,7,TE,75,81,75,0.00,-0.07,,75
,Tom Brady,TB,11,QB,79,83,76,-0.04,-0.08,,76
,Darnell Mooney,CHI,14,WR,73,57,77,0.05,0.35,,77
,Tony Pollard,DAL,9,RB,87,78,78,-0.10,0.00,,78
,Marquise Brown,ARI,13,WR,57,56,79,0.39,0.41,,79
,Rhamondre Stevenson,NE,10,RB,93,79,80,-0.14,0.01,,80
,Melvin Gordon,DEN,9,RB,98,87,81,-0.17,-0.07,,81
,Dameon Pierce,HOU,6,RB,109,98,82,-0.25,-0.16,,82
,Hunter Renfrow,LV,6,WR,83,95,83,0.00,-0.13,,83
,Russell Wilson,DEN,9,QB,76,86,84,0.11,-0.02,,84
,Adam Thielen,MIN,7,WR,74,80,85,0.15,0.06,8,85
,T.J. Hockenson,DET,6,TE,68,82,86,0.26,0.05,,86
